,Mesure,Decades,RA I,RA II,RA III,RA IV,RA V,RA VI,Total
2,Rainfall,1961-1970,3.0,2.0,0.0,2.0,1.0,5.0,13.0
3,Rainfall,1971-1980,5.0,3.0,1.0,0.0,1.0,4.0,14.0
4,Rainfall,1981-1990,1.0,0.0,1.0,0.5,2.0,7.0,11.5
5,Rainfall,1991-2000,2.0,6.0,2.0,1.0,0.0,5.0,16.0
6,Rainfall,2001-2010,6.0,2.0,3.0,4.0,1.0,7.0,23.0
7,Rainfall,2011-2020,5.0,5.0,0.0,3.5,0.0,6.0,19.5
8,High temp,1961-1970,2.0,0.0,0.5,0.0,1.0,0.33,3.83
9,High temp,1971-1980,3.0,1.0,1.0,2.5,2.0,1.0,10.5
10,High temp,1981-1990,1.0,2.0,1.0,1.5,0.0,1.0,6.5
11,High temp,1991-2000,4.0,2.5,0.5,1.5,1.0,6.33,15.83
12,High temp,2001-2010,2.0,2.5,1.5,3.5,0.0,12.0,21.5
13,High temp,2011-2020,9.0,10.0,2.5,2.0,1.0,13.34,37.84
14,Low temp,1961-1970,4.0,5.0,0.0,2.0,2.0,6.0,19.0
15,Low temp,1971-1980,5.0,3.0,1.5,3.0,0.0,5.0,17.5
16,Low temp,1981-1990,2.5,1.0,1.0,3.0,0.0,13.0,20.5
17,Low temp,1991-2000,1.0,1.0,2.5,1.0,1.0,4.0,10.5
18,Low temp,2001-2010,4.0,4.0,2.0,0.0,0.0,2.0,12.0
19,Low temp,2011-2020,4.5,4.0,0.0,1.0,2.0,2.0,13.5
