,Year,ant/green,Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
0,1992.0,Antarctica,2.525,33.0081
1,1992.0833,Antarctica,5.05,46.6805
2,1992.1667,Antarctica,7.575,57.1717
3,1992.25,Antarctica,-3.3129,64.5389
4,1992.3333,Antarctica,-14.2009,71.1473
5,1992.4167,Antarctica,-18.8227,75.36
6,1992.5,Antarctica,-23.4446,79.3494
7,1992.5833,Antarctica,-28.0665,83.1476
8,1992.6667,Antarctica,-32.6883,86.7798
9,1992.75,Antarctica,-37.3102,90.2659
10,1992.8333,Antarctica,-41.9321,93.6223
11,1992.9167,Antarctica,-46.5539,96.8624
12,1993.0,Antarctica,-53.2358,100.0886
13,1993.0833,Antarctica,-59.9177,103.214
14,1993.1667,Antarctica,-66.5996,106.2475
15,1993.25,Antarctica,-73.2815,109.1968
16,1993.3333,Antarctica,-79.9634,112.0684
17,1993.4167,Antarctica,-86.6453,114.8684
18,1993.5,Antarctica,-93.3272,117.6016
19,1993.5833,Antarctica,-100.0091,120.2728
20,1993.6667,Antarctica,-106.691,122.8859
21,1993.75,Antarctica,-113.3729,125.4446
22,1993.8333,Antarctica,-120.0548,127.9521
23,1993.9167,Antarctica,-126.7367,130.4115
24,1994.0,Antarctica,-134.1763,132.755
25,1994.0833,Antarctica,-141.6158,135.0579
26,1994.1667,Antarctica,-149.0554,137.3222
27,1994.25,Antarctica,-156.4949,139.5498
28,1994.3333,Antarctica,-163.9345,141.7423
29,1994.4167,Antarctica,-171.374,143.9015
30,1994.5,Antarctica,-178.8136,146.0287
31,1994.5833,Antarctica,-186.2531,148.1254
32,1994.6667,Antarctica,-193.6927,150.1928
33,1994.75,Antarctica,-201.1323,152.2321
34,1994.8333,Antarctica,-208.5718,154.2445
35,1994.9167,Antarctica,-216.0114,156.231
36,1995.0,Antarctica,-224.1581,158.2205
37,1995.0833,Antarctica,-232.3047,160.1854
38,1995.1667,Antarctica,-240.4514,162.1264
39,1995.25,Antarctica,-248.5981,164.0445
40,1995.3333,Antarctica,-256.7448,165.9404
41,1995.4167,Antarctica,-262.675,167.808
42,1995.5,Antarctica,-268.6052,169.6551
43,1995.5833,Antarctica,-274.5354,171.4822
44,1995.6667,Antarctica,-280.4656,173.2901
45,1995.75,Antarctica,-286.3958,175.0793
46,1995.8333,Antarctica,-292.326,176.8504
47,1995.9167,Antarctica,-298.2562,178.604
48,1996.0,Antarctica,-303.9195,180.3629
49,1996.0833,Antarctica,-309.5828,182.1049
50,1996.1667,Antarctica,-315.2461,183.8303
51,1996.25,Antarctica,-320.9094,185.5397
52,1996.3333,Antarctica,-326.5726,187.2334
53,1996.4167,Antarctica,-332.2359,188.912
54,1996.5,Antarctica,-335.3437,190.5709
55,1996.5833,Antarctica,-338.4514,192.2155
56,1996.6667,Antarctica,-341.5591,193.8462
57,1996.75,Antarctica,-344.6668,195.4632
58,1996.8333,Antarctica,-347.7745,197.067
59,1996.9167,Antarctica,-350.8822,198.6578
60,1997.0,Antarctica,-351.5116,200.2037
61,1997.0833,Antarctica,-352.1409,201.7376
62,1997.1667,Antarctica,-352.7703,203.26
63,1997.25,Antarctica,-353.3997,204.7711
64,1997.3333,Antarctica,-354.029,206.2712
65,1997.4167,Antarctica,-354.6584,207.7604
66,1997.5,Antarctica,-355.2878,209.2389
67,1997.5833,Antarctica,-355.9171,210.7072
68,1997.6667,Antarctica,-356.5465,212.1652
69,1997.75,Antarctica,-357.1758,213.6133
70,1997.8333,Antarctica,-357.8052,215.0517
71,1997.9167,Antarctica,-358.4346,216.4805
72,1998.0,Antarctica,-359.517,217.9211
73,1998.0833,Antarctica,-360.5994,219.3523
74,1998.1667,Antarctica,-361.6818,220.7742
75,1998.25,Antarctica,-362.7643,222.187
76,1998.3333,Antarctica,-363.8467,223.5909
77,1998.4167,Antarctica,-364.9291,224.9861
78,1998.5,Antarctica,-366.0116,226.3726
79,1998.5833,Antarctica,-367.094,227.7507
80,1998.6667,Antarctica,-368.1764,229.1205
81,1998.75,Antarctica,-369.2588,230.4821
82,1998.8333,Antarctica,-370.3413,231.8358
83,1998.9167,Antarctica,-371.4237,233.1816
84,1999.0,Antarctica,-373.1623,234.5509
85,1999.0833,Antarctica,-374.9009,235.9123
86,1999.1667,Antarctica,-376.6394,237.2659
87,1999.25,Antarctica,-378.378,238.6118
88,1999.3333,Antarctica,-380.1166,239.9501
89,1999.4167,Antarctica,-381.8552,241.281
90,1999.5,Antarctica,-383.5937,242.6047
91,1999.5833,Antarctica,-385.3323,243.9211
92,1999.6667,Antarctica,-387.0709,245.2305
93,1999.75,Antarctica,-388.8095,246.5329
94,1999.8333,Antarctica,-390.548,247.8285
95,1999.9167,Antarctica,-392.2866,249.1173
96,2000.0,Antarctica,-394.3001,250.3376
97,2000.0833,Antarctica,-396.3137,251.5521
98,2000.1667,Antarctica,-398.3272,252.7606
99,2000.25,Antarctica,-400.3407,253.9635
100,2000.3333,Antarctica,-402.3543,255.1606
101,2000.4167,Antarctica,-404.3678,256.3522
102,2000.5,Antarctica,-406.3813,257.5383
103,2000.5833,Antarctica,-408.3948,258.7189
104,2000.6667,Antarctica,-410.4084,259.8941
105,2000.75,Antarctica,-412.4219,261.0641
106,2000.8333,Antarctica,-414.4354,262.2289
107,2000.9167,Antarctica,-416.4489,263.3884
108,2001.0,Antarctica,-419.0723,264.556
109,2001.0833,Antarctica,-421.6957,265.7184
110,2001.1667,Antarctica,-424.319,266.8757
111,2001.25,Antarctica,-426.9424,268.028
112,2001.3333,Antarctica,-429.5657,269.1754
113,2001.4167,Antarctica,-432.1891,270.318
114,2001.5,Antarctica,-434.8124,271.4557
115,2001.5833,Antarctica,-437.4358,272.5887
116,2001.6667,Antarctica,-440.0591,273.7169
117,2001.75,Antarctica,-442.6825,274.8406
118,2001.8333,Antarctica,-445.3058,275.9597
119,2001.9167,Antarctica,-447.9292,277.0742
120,2002.0,Antarctica,-450.1265,278.1597
121,2002.0833,Antarctica,-452.3238,279.2409
122,2002.1667,Antarctica,-454.5211,280.318
123,2002.25,Antarctica,-456.7184,281.3909
124,2002.3333,Antarctica,-458.9157,282.4598
125,2002.4167,Antarctica,-461.933,283.5204
126,2002.5,Antarctica,-464.9503,284.5771
127,2002.5833,Antarctica,-468.0258,285.5977
128,2002.6667,Antarctica,-471.1013,286.6146
129,2002.75,Antarctica,-474.1769,287.628
130,2002.8333,Antarctica,-477.2524,288.6378
131,2002.9167,Antarctica,-480.3279,289.644
132,2003.0,Antarctica,-485.6248,290.9315
133,2003.0833,Antarctica,-491.1953,292.2174
134,2003.1667,Antarctica,-497.0051,293.4844
135,2003.25,Antarctica,-502.6998,294.7365
136,2003.3333,Antarctica,-508.0912,295.9937
137,2003.4167,Antarctica,-513.368,297.2393
138,2003.5,Antarctica,-518.6467,298.4743
139,2003.5833,Antarctica,-524.5713,299.6962
140,2003.6667,Antarctica,-530.6426,300.9146
141,2003.75,Antarctica,-537.3761,302.1052
142,2003.8333,Antarctica,-544.0651,303.2819
143,2003.9167,Antarctica,-550.5558,304.4278
144,2004.0,Antarctica,-556.7618,305.6081
