,Decades,depth,value
0,"1961
-1970",0-300m,0.0
1,"1971
-1980",0-300m,8347516.0
2,"1981
-1990",0-300m,79571759.0
3,"1991
-2000",0-300m,55749036.0
4,"2001
-2010",0-300m,113657291.2
5,"2011
-2020",0-300m,110139416.062
6,"1961
-1970",0-700m,0.0
7,"1971
-1980",0-700m,12477149.0
8,"1981
-1990",0-700m,95279088.0
9,"1991
-2000",0-700m,76109253.0
10,"2001
-2010",0-700m,188702527.4
11,"2011
-2020",0-700m,169700924.48999998
12,"1961
-1970",0-2000m,0.0
13,"1971
-1980",0-2000m,64453511.0
14,"1981
-1990",0-2000m,101432538.0
15,"1991
-2000",0-2000m,130862867.0
16,"2001
-2010",0-2000m,240939835.0
17,"2011
-2020",0-2000m,279035712.8
18,"1961
-1970",700-2000m,0.0
19,"1971
-1980",700-2000m,16130778.0
20,"1981
-1990",700-2000m,23972371.0
21,"1991
-2000",700-2000m,49915498.0
22,"2001
-2010",700-2000m,74654392.4
23,"2011
-2020",700-2000m,112757576.89999999
