,Date,variable,value,S_N,mean,max_min
0,1979,NH max,16.593,Arctic,raw,max
1,1980,NH max,16.295,Arctic,raw,max
2,1981,NH max,15.786,Arctic,raw,max
3,1982,NH max,16.317,Arctic,raw,max
4,1983,NH max,16.38,Arctic,raw,max
5,1984,NH max,15.795,Arctic,raw,max
6,1985,NH max,16.128,Arctic,raw,max
7,1986,NH max,16.149,Arctic,raw,max
8,1987,NH max,16.284,Arctic,raw,max
9,1988,NH max,16.275,Arctic,raw,max
10,1989,NH max,15.701,Arctic,raw,max
11,1990,NH max,16.177,Arctic,raw,max
12,1991,NH max,15.601,Arctic,raw,max
13,1992,NH max,15.559,Arctic,raw,max
14,1993,NH max,15.987,Arctic,raw,max
15,1994,NH max,15.723,Arctic,raw,max
16,1995,NH max,15.335,Arctic,raw,max
17,1996,NH max,15.426,Arctic,raw,max
18,1997,NH max,15.634,Arctic,raw,max
19,1998,NH max,15.999,Arctic,raw,max
20,1999,NH max,15.582,Arctic,raw,max
21,2000,NH max,15.439,Arctic,raw,max
22,2001,NH max,15.672,Arctic,raw,max
23,2002,NH max,15.576,Arctic,raw,max
24,2003,NH max,15.595,Arctic,raw,max
25,2004,NH max,15.216,Arctic,raw,max
26,2005,NH max,14.952,Arctic,raw,max
27,2006,NH max,14.683,Arctic,raw,max
28,2007,NH max,14.765,Arctic,raw,max
29,2008,NH max,15.296,Arctic,raw,max
30,2009,NH max,15.136,Arctic,raw,max
31,2010,NH max,15.283,Arctic,raw,max
32,2011,NH max,14.667,Arctic,raw,max
33,2012,NH max,15.294,Arctic,raw,max
34,2013,NH max,15.167,Arctic,raw,max
35,2014,NH max,14.964,Arctic,raw,max
36,2015,NH max,14.517,Arctic,raw,max
37,2016,NH max,14.507,Arctic,raw,max
38,2017,NH max,14.406,Arctic,raw,max
39,2018,NH max,14.465,Arctic,raw,max
40,2019,NH max,14.817,Arctic,raw,max
41,2020,NH max,15.018,Arctic,raw,max
42,2021,NH max,14.781,Arctic,raw,max
43,2022,NH max,14.875,Arctic,raw,max
44,1979,NH min,6.903,Arctic,raw,min
45,1980,NH min,7.544,Arctic,raw,min
46,1981,NH min,6.903,Arctic,raw,min
47,1982,NH min,7.166,Arctic,raw,min
48,1983,NH min,7.221,Arctic,raw,min
49,1984,NH min,6.426,Arctic,raw,min
50,1985,NH min,6.491,Arctic,raw,min
51,1986,NH min,7.157,Arctic,raw,min
52,1987,NH min,6.963,Arctic,raw,min
53,1988,NH min,7.126,Arctic,raw,min
54,1989,NH min,6.907,Arctic,raw,min
55,1990,NH min,6.036,Arctic,raw,min
56,1991,NH min,6.302,Arctic,raw,min
57,1992,NH min,7.209,Arctic,raw,min
58,1993,NH min,6.184,Arctic,raw,min
59,1994,NH min,6.961,Arctic,raw,min
60,1995,NH min,6.027,Arctic,raw,min
61,1996,NH min,7.191,Arctic,raw,min
62,1997,NH min,6.628,Arctic,raw,min
63,1998,NH min,6.351,Arctic,raw,min
64,1999,NH min,5.757,Arctic,raw,min
65,2000,NH min,5.978,Arctic,raw,min
66,2001,NH min,6.603,Arctic,raw,min
