,Decades,depth,value
0,"1961
-1970",0-300m,-345545130.0
1,"1971
-1980",0-300m,-337197614.0
2,"1981
-1990",0-300m,-257625855.0
3,"1991
-2000",0-300m,-201876819.0
4,"2001
-2010",0-300m,-88219527.8
5,"2011
-2020",0-300m,21919888.262000002
6,"1961
-1970",0-700m,-510930135.0
7,"1971
-1980",0-700m,-498452986.0
8,"1981
-1990",0-700m,-403173898.0
9,"1991
-2000",0-700m,-327064645.0
10,"2001
-2010",0-700m,-138362117.6
11,"2011
-2020",0-700m,31338806.889999997
12,"1961
-1970",0-2000m,-761718068.0
13,"1971
-1980",0-2000m,-697264557.0
14,"1981
-1990",0-2000m,-595832019.0
15,"1991
-2000",0-2000m,-464969152.0
16,"2001
-2010",0-2000m,-224029317.0
17,"2011
-2020",0-2000m,55006395.8
18,"1961
-1970",700-2000m,-252678879.0
19,"1971
-1980",700-2000m,-236548101.0
20,"1981
-1990",700-2000m,-212575730.0
21,"1991
-2000",700-2000m,-162660232.0
22,"2001
-2010",700-2000m,-88005839.6
23,"2011
-2020",700-2000m,24751737.3
